,h_id,r_id,t_id,predicted_head,rank_filtered_anyburl,rank_filtered_kge,rank_filtered_kge_0,rank_filtered_kge_1,rank_filtered_kge_2,rank_filtered_kge_3,rank_filtered_kge_4,difference_psi,better_predicted_by_anyburl_t20,similar_triples
71,9308,13,5127,True,1784.0,1172,959,1182,885,613,2222,0.7676907055508214,-1,82
72,1534,2,59,False,10.0,10,10,14,9,5,11,1.0,0,3
73,1534,2,59,True,4344.0,2396,2396,3141,1577,806,4059,0.7213324054431058,-1,886
74,14949,4,170,False,3.0,3,2,5,2,2,2,1.0,0,0
75,14949,4,170,True,5385.0,904,400,1517,977,803,823,0.4176955125335813,-1,241
76,16538,2,278,False,2.0,2,2,3,2,2,2,1.0,0,5
77,16538,2,278,True,918.0,575,547,765,395,527,642,0.8470227868909381,0,4431
78,15705,15,5844,False,5.0,1,1,1,1,1,1,0.3371107115931102,-1,1
79,15705,15,5844,True,1618.0,19,22,21,19,17,18,0.1047455425011245,-1,13
80,5708,2,1265,False,16.0,2,2,1,2,3,1,0.5378141820404465,-1,7
81,5708,2,1265,True,169.0,7,8,9,9,5,2,0.7619034245572993,-1,203
82,14693,1,7084,False,3.0,1,1,1,1,1,2,0.7570519911504424,-1,1
83,14693,1,7084,True,121.0,55,39,52,60,47,77,0.9999652178491152,0,84
84,6385,0,1023,False,46.0,528,351,100,88,123,1976,7.64666402786399,1,11
85,6385,0,1023,True,2.0,650,262,141,65,166,2617,12.9993292080257,1,10
86,1547,2,16725,False,29.0,63,45,92,37,78,64,1.2753031887404522,1,3
87,1547,2,16725,True,32.0,211,150,394,89,224,196,1.1415560439396708,0,8
88,3222,2,102,False,4.0,2,2,2,2,2,2,0.7273334997642229,-1,7
89,3222,2,102,True,1072.0,736,938,326,355,803,1260,0.9660199759863664,0,1791
90,14976,2,141,False,2.0,1,2,1,1,2,1,0.892531615366261,0,2
91,14976,2,141,True,488.0,895,595,1113,269,1721,776,1.212785542289562,1,1524
92,13405,10,399,False,1.0,1,1,1,1,1,1,1.0,0,2
93,13405,10,399,True,429.0,395,426,379,302,315,554,0.999999999999882,0,618
94,2658,14,288,False,1.0,1,1,1,1,1,1,1.0,0,1
95,2658,14,288,True,922.0,1198,587,835,586,2592,1391,1.2931535154473277,1,2440
96,14041,2,5,False,1.0,1,1,1,1,1,1,1.0,0,1
97,14041,2,5,True,1741.0,632,216,344,1264,797,538,0.7126494501257324,-1,3746
98,15744,4,7209,False,67.0,291,66,927,83,132,246,1.0000140411452372,0,1
99,15744,4,7209,True,2825.0,5665,1776,10567,4623,3735,7623,1.1750999798671915,0,13
100,5357,5,13,False,1.0,1,1,1,1,1,1,1.0,0,0
101,5357,5,13,True,107.0,1443,1740,1374,719,2638,742,3.626191799494437,1,593
102,12727,2,2592,False,253.0,71,91,85,47,59,72,0.5941480291286886,-1,12
103,12727,2,2592,True,6047.0,580,969,656,206,638,432,0.4170417934834462,-1,17
104,4387,22,477,False,4.0,2,2,2,2,1,2,0.9999999989873596,0,0
105,4387,22,477,True,14.0,136,154,82,167,139,136,1.5829684239068231,1,55
106,15284,15,1302,False,16.0,38,8,134,37,3,6,1.00000000038516,0,0
107,15284,15,1302,True,2821.0,2113,893,7605,1281,294,491,0.9599078488465108,0,24
108,11684,2,826,False,11.0,1,1,1,2,1,2,0.4685774677019824,-1,4
109,11684,2,826,True,698.0,9,10,2,3,17,11,0.5655513553371783,-1,320
110,3053,3,299,False,2.0,1,1,1,1,1,1,0.9165113700698244,0,1
111,3053,3,299,True,162.0,18,15,13,17,35,12,0.8913661459764396,0,261
112,2667,2,1287,False,10.0,7,17,5,3,3,5,0.773614155129096,-1,3
113,2667,2,1287,True,6865.0,2621,4274,2242,2829,1709,2051,0.5370343066471216,-1,1009
114,10632,10,3882,False,20.0,13,7,16,10,16,14,0.9999999988712104,0,3
115,10632,10,3882,True,401.0,420,264,523,319,570,423,1.0,0,104
116,939,1,2457,False,1.0,1,1,1,1,1,1,1.0,0,16
117,939,1,2457,True,20.0,19,19,17,13,18,26,0.999999999999991,0,132
118,9763,2,278,False,1.0,1,1,1,1,1,1,1.0,0,3
119,9763,2,278,True,144.0,951,1157,464,1448,887,800,1.5630201659169125,1,4431
121,16987,15,1475,True,5816.0,4483,8951,3152,1479,8069,764,0.000388024461991,-1,4
122,15986,22,951,False,67.0,18,25,14,34,4,13,0.9999999999998948,0,0
123,15986,22,951,True,4341.0,5727,6499,6111,10311,1571,4143,1.546511627906977,1,49
124,8782,13,12021,False,12.0,332,60,17,502,27,1054,1.9706802566956363,1,0
125,8782,13,12021,True,2435.0,5222,4933,863,8533,1943,9837,2.310299111411638,1,20
126,4885,3,229,False,3.0,2,2,2,2,2,2,0.9999999997648632,0,1
127,4885,3,229,True,6056.0,2107,2712,935,2016,2021,2851,0.5415355987054813,-1,1054
128,5362,1,4570,False,4.0,1,1,1,1,1,2,0.999980675210768,0,15
129,5362,1,4570,True,25.0,4,2,3,1,1,15,0.9999754204475466,0,46
130,4842,3,515,False,4.0,1,1,1,1,1,1,0.5508905985761338,-1,1
131,4842,3,515,True,328.0,2,2,1,3,2,3,0.8550199820517809,0,18
132,1412,8,386,False,11.0,11,5,8,24,3,17,1.0,0,0
136,12853,4,1727,False,10.0,3,2,5,4,1,2,0.5489021956087824,-1,2
137,12853,4,1727,True,1318.0,307,355,228,576,80,295,0.7203608591613899,-1,134
138,9319,11,344,False,1.0,1,1,1,1,1,1,1.0,0,0
139,9319,11,344,True,39.0,22,23,26,18,23,19,0.9999753821006436,0,1206
140,3205,2,1442,False,25.0,13,10,14,10,11,18,0.8402706429078556,0,4
141,3205,2,1442,True,5018.0,2175,3199,1208,1605,1664,3201,0.5811012769375993,-1,460
142,10584,23,1418,False,36.0,76,25,184,53,76,43,1.0000000000000142,0,9
143,10584,23,1418,True,36.0,12,6,20,10,13,12,0.9999658431542124,0,2
144,2473,10,135,False,1.0,1,1,1,1,1,1,1.0,0,0
145,2473,10,135,True,17.0,9,4,9,6,18,7,0.9999999990653796,0,242
146,6439,2,2132,False,186.0,62,114,41,70,44,42,0.7977549605309806,-1,4
147,6439,2,2132,True,1882.0,3614,7179,3000,4006,2409,1478,1.713478219734489,1,159
148,13333,2,534,False,14.0,3,2,2,2,5,2,0.5430109259677056,-1,9
149,13333,2,534,True,2831.0,322,279,61,263,836,170,0.6821513406885173,-1,631
150,9513,2,2771,False,108.0,8,5,8,15,7,7,0.7777494058429176,-1,5
151,9513,2,2771,True,1376.0,140,64,77,302,149,107,0.6023908627697813,-1,66
152,13726,2,1985,False,25.0,6,9,3,4,4,8,0.899004814016919,0,2
153,13726,2,1985,True,2430.0,150,288,27,133,169,134,0.5335163251638388,-1,75
154,12603,2,5,False,2.0,1,2,2,1,1,1,0.9426531953051476,0,8
155,12603,2,5,True,4718.0,608,836,255,563,551,836,0.4064772771018876,-1,3746
156,302,7,747,False,1.0,1,1,1,1,1,1,1.0,0,117
157,302,7,747,True,1.0,2,1,3,2,1,2,1.0001544640098856,0,180
158,13437,15,8486,False,35.0,38,37,44,42,31,37,1.00000167019971,0,2
159,13437,15,8486,True,447.0,1453,1017,2032,1488,1603,1126,1.2500057342983777,1,24
160,296,7,8466,False,2.0,5,2,5,2,10,6,1.2344770140082182,1,126
161,296,7,8466,True,1.0,1,1,1,1,1,1,1.0,0,4
162,7838,1,93,False,7.0,1,1,1,1,1,1,0.8745715801490517,0,0
163,7838,1,93,True,3414.0,3230,2123,4396,3011,2530,4088,0.954941154832349,0,783
164,11218,3,3082,False,3.0,2,2,2,2,1,2,0.9999999977013034,0,1
165,11218,3,3082,True,2783.0,96,49,155,104,97,77,0.6666774881653114,-1,166
166,15358,18,229,False,1.0,1,1,1,1,1,1,1.0,0,0
167,15358,18,229,True,200.0,32,4,6,62,26,60,0.9161865987490474,0,256
168,6865,2,83,False,1.0,2,1,2,2,2,2,1.1190290306708215,0,4
169,6865,2,83,True,2986.0,588,462,500,924,510,543,0.4044209985175546,-1,2455
170,16304,2,2256,False,3.0,5,4,6,2,6,6,1.3636363636363635,1,3
171,16304,2,2256,True,254.0,1372,1006,1346,1158,1527,1822,1.1090978486912466,0,563
172,2403,6,1799,False,53.0,65,45,60,174,23,22,1.000016216524295,0,0
174,14536,2,4600,False,83.0,185,75,524,97,129,100,1.8816137666945425,1,6
175,14536,2,4600,True,1511.0,8540,6729,13450,6667,10645,5208,154.08811305070657,1,138
176,13100,10,399,False,1.0,1,1,1,1,1,2,1.0,0,1
177,13100,10,399,True,454.0,570,594,573,551,488,642,1.3912421714119716,1,618
178,5124,33,10250,False,1.0,1,1,1,1,1,1,1.0,0,0
179,5124,33,10250,True,1.0,1,1,1,1,1,1,1.0,0,0
180,10365,0,4121,False,1580.0,546,277,361,692,203,1199,0.5454512417196212,-1,4
181,10365,0,4121,True,878.0,316,128,343,326,141,640,0.9999684929133807,0,4
182,5153,27,927,False,1.0,1,1,1,1,2,1,1.0,0,1
183,5153,27,927,True,911.0,1789,887,2558,464,3918,1119,1.907235578317392,1,206
184,6256,15,1727,False,1.0,1,1,1,1,1,1,1.0,0,0
185,6256,15,1727,True,35.0,1,1,1,1,1,1,0.2670914385598373,-1,67
186,7936,2,273,False,11.0,9,8,9,7,13,6,0.6276557167235495,-1,7
187,7936,2,273,True,2831.0,3536,3612,4075,3115,3605,3271,1.1290808638716825,0,775
188,7459,2,5,False,2.0,2,2,2,2,2,2,1.0,0,6
189,7459,2,5,True,371.0,389,325,296,501,658,167,1.0000064946436202,0,3746
190,13107,2,6871,False,114.0,22,37,21,25,14,15,0.8821323852963353,0,6
191,13107,2,6871,True,8578.0,784,798,1514,680,490,438,0.1750753030733204,-1,101
192,2790,2,55,False,1.0,1,1,1,1,1,1,1.0,0,8
193,2790,2,55,True,315.0,93,45,80,104,161,76,0.9363003608177884,0,1451
194,4962,3,31,False,1.0,1,1,1,1,1,1,1.0,0,0
195,4962,3,31,True,155.0,20,21,44,12,8,14,0.92871092829526,0,4666
196,4452,14,552,False,1.0,1,1,1,1,1,1,1.0,0,0
197,4452,14,552,True,20.0,9,4,2,21,7,9,0.9999999970555388,0,628
198,10863,2,8738,False,45.0,2,1,2,3,3,1,0.9999522585103928,0,3
199,10863,2,8738,True,100.0,1,1,1,1,1,1,0.5791882468745113,-1,29
202,16262,3,229,False,3.0,2,2,2,2,2,2,0.9999213674472078,0,0
203,16262,3,229,True,537.0,115,37,51,31,163,291,0.8238754761835412,0,1054
206,16360,2,275,False,2.0,2,2,2,2,2,2,1.0,0,6
207,16360,2,275,True,6242.0,1226,1066,1005,1080,1488,1490,0.4747704210312501,-1,1223
208,15487,13,145,False,5.0,8,9,13,7,8,4,1.000000000970253,0,0
209,15487,13,145,True,4501.0,4227,4580,6756,3634,4132,2034,0.9999933884734646,0,133
210,14644,2,9692,False,64.0,29,15,47,26,14,41,0.6571569116518916,-1,6
211,14644,2,9692,True,580.0,315,39,908,277,39,312,0.7241545511541417,-1,44
212,9431,4,14315,False,14.0,38,24,66,28,22,48,1.0,0,1
213,9431,4,14315,True,1340.0,1898,1046,3199,1629,786,2832,1.1714666532381337,0,16
214,11244,11,168,False,1.0,1,1,1,1,1,1,1.0,0,0
215,11244,11,168,True,1342.0,42,116,45,5,8,35,0.6384282110379336,-1,2346
216,10663,11,5809,False,1.0,1,1,1,1,1,1,1.0,0,1
217,10663,11,5809,True,6.0,4,4,3,4,6,3,0.9999772195403732,0,63
218,14605,2,21,False,4.0,8,9,10,7,6,9,1.3975172671271232,1,2
219,14605,2,21,True,5348.0,2924,3055,3548,3115,2201,2703,0.5874700583114378,-1,1252
220,11769,22,182,False,2.0,1,1,1,1,1,1,0.730972177806204,-1,0
221,11769,22,182,True,176.0,8,9,9,7,8,5,0.2953613648958715,-1,20
222,9732,15,384,False,2.0,2,2,2,2,2,2,1.0,0,0
223,9732,15,384,True,2223.0,409,258,304,380,782,319,0.132618604286986,-1,150
224,7681,5,13,False,1.0,1,1,1,1,1,1,1.0,0,0
225,7681,5,13,True,392.0,7,3,9,5,11,9,0.3474277714026569,-1,593
226,15102,24,12798,False,5.0,3,1,1,3,1,9,0.9999685611783145,0,0
227,15102,24,12798,True,84.0,238,178,59,367,36,549,2.9091699947051377,1,11
228,12101,2,55,False,1.0,4,3,3,5,5,4,1.264256075874333,1,6
229,12101,2,55,True,515.0,1317,655,1290,519,1917,2206,1.4913794495514676,1,1451
230,1025,1,93,False,1.0,1,1,1,1,1,1,1.0,0,0
231,1025,1,93,True,2044.0,1327,578,3831,1142,287,796,0.69454534220141,-1,783
232,9415,2,278,False,1.0,1,1,1,1,1,1,1.0,0,3
233,9415,2,278,True,411.0,1704,881,1743,2391,947,2558,1.5102296141054887,1,4431
234,15887,5,1360,False,2.0,1,1,1,1,1,1,0.7008210437556776,-1,0
235,15887,5,1360,True,567.0,147,45,26,24,233,406,0.4652049171745094,-1,35
236,159,2,17,False,5.0,2,2,2,2,2,2,0.6729016085133899,-1,4
237,159,2,17,True,479.0,73,148,36,57,82,40,0.8001381311891569,0,299
238,14541,2,286,False,2.0,2,2,2,2,3,1,1.0,0,3
239,14541,2,286,True,500.0,2141,1636,1162,3745,3368,793,1.3357725314652196,1,2308
240,7183,2,1287,False,3.0,1,2,2,1,1,1,0.6920065252854811,-1,7
241,7183,2,1287,True,998.0,56,211,45,10,9,5,0.6914206227347568,-1,1009
242,13217,25,14344,False,3.0,1,1,1,1,1,1,0.9999228505183791,0,0
243,13217,25,14344,True,4.0,4,3,3,3,5,8,1.0,0,11
244,1398,2,518,False,18.0,3,2,2,3,5,3,0.421265215374728,-1,8
245,1398,2,518,True,2267.0,44,39,74,24,37,46,0.5850668880652293,-1,564
246,86,4,758,False,2.0,2,2,1,2,3,1,1.0,0,0
247,86,4,758,True,1350.0,122,142,74,212,159,25,0.3926876314473686,-1,151
248,7121,8,6254,False,14.0,29,20,37,37,31,19,1.000031936288371,0,0
250,13312,2,2132,False,22.0,8,6,9,10,7,9,0.7831373520465741,-1,5
252,5448,2,55,False,1.0,1,1,3,1,1,1,1.0,0,6
253,5448,2,55,True,25.0,4,2,5,5,3,3,0.7979572996418923,-1,1451
254,14926,2,9092,False,184.0,32,20,51,36,45,6,0.999999997979865,0,4
255,14926,2,9092,True,8628.0,534,405,1043,802,418,4,0.0043265180226098,-1,29
256,7783,13,2022,False,1.0,1,1,1,1,1,1,1.0,0,0
257,7783,13,2022,True,59.0,55,57,30,68,61,61,0.9999999999999548,0,147
258,7028,17,1810,False,4.0,7,18,1,10,4,1,1.3343023255813955,1,2
259,7028,17,1810,True,469.0,498,1683,67,240,285,216,1.0000000029190403,0,128
260,4290,7,665,False,1.0,5,3,5,1,10,6,1.3213092105394797,1,25
261,4290,7,665,True,1.0,2,1,1,1,1,5,1.111407574901074,0,37
262,9345,14,288,False,1.0,1,1,1,1,1,1,1.0,0,1
263,9345,14,288,True,298.0,807,1115,250,825,883,961,1.279706543334859,1,2440
264,1892,1,2228,False,1.0,1,1,1,1,1,1,1.0,0,27
265,1892,1,2228,True,2.0,3,3,3,3,3,3,1.0000993178170143,0,171
266,8912,20,1243,False,1.0,1,1,1,1,2,2,1.0,0,0
268,3736,25,3985,False,2.0,3,5,2,2,5,3,2.03124411820064,1,0
269,3736,25,3985,True,83.0,1232,2222,325,213,2585,813,2.2318610243098465,1,136
270,3565,2,313,False,1.0,1,1,1,1,1,1,1.0,0,10
271,3565,2,313,True,1610.0,33,15,10,6,118,17,0.4973618192028917,-1,2324
272,3435,2,131,False,5.0,16,11,20,9,23,18,1.0000000013684056,0,3
273,3435,2,131,True,2122.0,3596,2692,4653,1548,4958,4128,1.3626110134845346,1,443
274,5677,2,4583,False,10.0,2,2,2,2,2,2,0.6808752486501847,-1,9
275,5677,2,4583,True,12.0,14,19,3,26,16,5,1.0734441636285883,0,100
276,11829,5,13,False,1.0,1,1,1,1,1,1,1.0,0,0
277,11829,5,13,True,1555.0,33,24,37,33,46,26,0.1816738378862105,-1,593
278,11920,2,273,False,3.0,2,1,4,2,2,2,0.8146969696969697,0,3
279,11920,2,273,True,3173.0,1592,880,2457,1452,2057,1116,0.5974791460811134,-1,775
280,4592,7,1852,False,1.0,1,1,1,1,1,1,1.0,0,29
281,4592,7,1852,True,1.0,1,2,1,1,1,1,1.0,0,78
282,14176,11,344,False,1.0,2,3,1,2,1,2,1.0414827890556044,0,1
283,14176,11,344,True,246.0,539,1451,389,250,381,224,1.0018410232065569,0,1206
284,12017,2,278,False,2.0,1,1,1,1,1,1,0.7108228833702155,-1,4
285,12017,2,278,True,2388.0,1778,2640,982,353,3123,1794,0.9040814840239368,0,4431
286,3596,3,2687,False,22.0,2,2,2,2,2,2,0.4618994587605061,-1,1
287,3596,3,2687,True,1321.0,16,15,14,10,24,19,0.6780208370309736,-1,68
288,6603,27,597,False,1.0,1,1,1,1,1,1,1.0,0,0
289,6603,27,597,True,157.0,17,17,15,13,21,17,0.999961867263348,0,41
290,11009,2,17,False,27.0,44,38,52,30,40,58,1.0000000016863264,0,7
291,11009,2,17,True,8067.0,3868,3280,4077,2772,3980,5231,0.0139790718712695,-1,299
292,11744,2,278,False,2.0,2,1,2,2,2,2,1.0,0,4
293,11744,2,278,True,448.0,1561,1017,2243,1366,1944,1236,1.4279082791804585,1,4431
294,2967,7,1799,False,1.0,4,4,1,1,7,5,1.5322714727496425,1,29
295,2967,7,1799,True,1.0,11,25,5,1,17,7,1.5196415143982975,1,78
296,15175,20,1846,False,7.0,6,6,8,6,5,5,0.9999999998313596,0,0
297,15175,20,1846,True,2796.0,2002,2130,2124,2241,1453,2060,0.9818069664548308,0,123
298,5993,17,3451,False,6.0,2,2,5,2,2,1,0.4977793348208426,-1,2
299,5993,17,3451,True,736.0,92,38,243,60,38,82,0.9999101674811566,0,25
300,14998,2,2383,False,10.0,1,1,1,1,1,1,0.4654989024464649,-1,5
301,14998,2,2383,True,156.0,1,1,1,1,2,1,0.6864688588303306,-1,70
302,12825,14,49,False,1.0,1,1,1,1,1,1,1.0,0,1
303,12825,14,49,True,31.0,382,426,308,405,329,442,1.4999304171811652,1,1016
304,6314,2,1014,False,33.0,10,11,8,8,7,17,0.9540970643884688,0,4
305,6314,2,1014,True,8290.0,2926,2223,1514,1497,1880,7517,0.4687140267337797,-1,628
306,1851,1,4570,False,4.0,2,2,1,3,1,1,0.9999999991311088,0,17
307,1851,1,4570,True,22.0,5,7,4,7,1,6,0.9999767742227688,0,46
308,8688,2,224,False,2.0,1,2,1,1,1,1,0.9970149253731344,0,6
309,8688,2,224,True,229.0,164,464,28,74,135,119,0.999967959964114,0,908
310,10733,11,39,False,1.0,1,1,1,1,1,1,1.0,0,0
311,10733,11,39,True,956.0,1424,576,1435,1445,1750,1912,1.0362947671716312,0,3928
312,14659,3,332,False,2.0,8,6,9,8,6,10,1.0757520458086327,0,0
313,14659,3,332,True,3607.0,1684,1305,2281,1691,1136,2007,0.7481259143973495,-1,129
314,1852,1,3,False,1.0,1,1,1,1,1,1,1.0,0,14
315,1852,1,3,True,3.0,4,4,1,1,6,6,1.000000013951721,0,173
316,14393,10,3927,False,15.0,4,3,3,4,3,8,0.6043840460359234,-1,1
317,14393,10,3927,True,1020.0,615,349,644,836,488,758,0.6043248441932949,-1,176
318,14458,11,168,False,1.0,1,1,1,2,1,1,1.0,0,2
319,14458,11,168,True,1373.0,1118,1182,1602,1257,690,857,0.98013272612267,0,2346
320,403,22,4330,False,2.0,33,16,37,15,20,77,4.45463237307832,1,0
321,403,22,4330,True,141.0,5482,5122,7244,3613,3941,7488,6.889484618624596,1,48
322,4844,0,11535,False,2503.0,3005,7342,1832,4850,326,676,1.0000000000079834,0,3
324,9696,2,7841,False,7.0,31,24,54,19,19,38,1.367554623587018,1,15
325,9696,2,7841,True,5.0,199,52,692,8,71,170,1.367611358381024,1,67
326,12224,3,31,False,1.0,1,1,1,1,1,1,1.0,0,0
327,12224,3,31,True,80.0,49,41,59,25,83,39,0.998525970461004,0,4666
328,11078,2,485,False,1.0,1,1,1,1,1,1,1.0,0,4
329,11078,2,485,True,129.0,1147,905,703,902,911,2315,1.980971988623008,1,2502
330,8789,2,141,False,11.0,9,9,14,7,6,11,0.8591758708581139,0,3
331,8789,2,141,True,1968.0,4108,4142,5599,2130,3237,5434,1.550368517027828,1,1524
332,17004,3,87,False,1.0,1,1,1,1,1,1,1.0,0,0
333,17004,3,87,True,946.0,20,7,16,21,35,22,0.8468248841296262,0,1659
334,8260,3,622,False,15.0,58,58,9,39,69,117,1.8985128008868477,1,1
335,8260,3,622,True,58.0,473,585,6,84,822,869,9.795098324440383,1,1
336,11357,2,1421,False,10.0,3,2,2,2,4,4,0.6174575771611437,-1,7
337,11357,2,1421,True,1338.0,177,211,117,110,289,158,0.8228245312825472,0,640
338,2004,2,485,False,1.0,1,2,1,1,1,1,1.0,0,6
339,2004,2,485,True,425.0,151,331,66,142,121,94,0.9241617213505428,0,2502
340,7116,15,758,False,1.0,1,1,1,1,1,1,1.0,0,1
341,7116,15,758,True,4.0,29,14,29,21,45,34,4.561241057044498,1,72
342,14867,4,3216,False,14.0,2,3,1,6,1,1,0.6413410284833815,-1,0
343,14867,4,3216,True,857.0,822,1127,444,1498,561,479,1.0,0,131
344,1869,2,935,False,4.0,1,1,1,1,1,1,0.3851363993575062,-1,5
345,1869,2,935,True,1942.0,5,3,7,6,3,4,0.4074728797911501,-1,220
346,13123,2,1036,False,33.0,8,9,5,7,15,6,0.511817567902542,-1,8
347,13123,2,1036,True,5246.0,49,53,13,36,87,55,0.4333931214565626,-1,83
348,5357,2,5,False,3.0,17,22,16,13,17,15,2.353672191278684,1,5
349,5357,2,5,True,5939.0,5743,6465,6327,3753,6112,6056,0.9219198036542668,0,3746
350,2144,10,135,False,1.0,1,1,1,1,1,1,1.0,0,1
351,2144,10,135,True,1.0,14,15,10,12,23,10,1.0000040193781334,0,242
352,6184,2,286,False,1.0,1,1,1,1,1,1,1.0,0,3
353,6184,2,286,True,1021.0,1555,1501,2150,1088,1235,1800,1.1051513786587976,0,2308
