,h,h_id,r,r_id,t,t_id,predicted_head,rank_filtered_kge,rank_filtered_kge_0,rank_filtered_kge_1,rank_filtered_kge_2,rank_filtered_kge_3,rank_filtered_kge_4,rank_filtered_anyburl,anyburl_confidence_anyburl,anyburl_confidence_kge,difference_psi
46,Q188401,12348,P27,3,Q30,31,False,1,1,1,1,1,1,1,0.8406593406593407,0.8406593406593407,1.0
47,Q188401,12348,P27,3,Q30,31,True,35,43,18,20,59,37,12,0.8407334612623557,0.8089889674835253,1.0392397116088938
48,Q76632,11480,P20,22,Q64,233,False,1,1,1,1,1,1,1,0.46875,0.46875,1.0
49,Q76632,11480,P20,22,Q64,233,True,121,32,170,218,105,78,10,0.4687542896207729,0.2955287300143277,1.5861547186902842
50,Q73437,3919,P27,3,Q30,31,False,1,1,1,1,1,1,1,0.5683930942895087,0.5683930942895087,1.0
51,Q73437,3919,P27,3,Q30,31,True,334,585,363,198,211,311,1120,0.5684486539627114,0.7412130625996316,0.7669166703147549
52,Q683,3280,P463,1,Q191384,1136,False,1,1,1,1,1,1,1,0.8978102189781022,0.8978102189781022,1.0
53,Q683,3280,P463,1,Q191384,1136,True,1,1,1,1,1,1,1,0.8978102189781022,0.8978102189781022,1.0
54,Q87208,15658,P106,2,Q1350157,708,False,24,30,22,18,29,19,65,0.13068324286791272,0.13068324286792418,0.9999999999999123
55,Q87208,15658,P106,2,Q1350157,708,True,580,585,549,356,1053,355,9230,0.0013297872340425534,0.24962478959063764,0.005327144135898064
56,Q1342003,8698,P27,3,Q15180,370,False,1,1,1,1,1,1,1,0.8441558441558441,0.8441558441558441,1.0
57,Q1342003,8698,P27,3,Q15180,370,True,21,15,47,7,14,23,1,0.8442358441558441,0.7594675617734202,1.1116154088062469
58,Q92830,14037,P106,2,Q170790,826,False,1,2,1,1,1,1,6,0.2557544757033248,0.7091836734693877,0.36063221034425663
59,Q92830,14037,P106,2,Q170790,826,True,6,1,1,2,3,22,447,0.2557654981472151,0.43481260869565214,0.5882200585545545
60,Q542101,7578,P106,2,Q177220,485,False,1,1,1,1,1,1,1,0.8717948717948718,0.8717948717948718,1.0
61,Q542101,7578,P106,2,Q177220,485,True,127,53,121,64,113,282,121,0.6888934520393499,0.6888934491947525,1.000000004129227
62,Q49285,3872,P69,4,Q41506,760,False,1,1,1,1,1,1,1,0.2033898305084746,0.2033898305084746,1.0
63,Q49285,3872,P69,4,Q41506,760,True,40,28,91,10,23,48,3,0.20339571623914793,0.2033898305084746,1.0000289381758105
64,Q959875,12241,P106,2,Q16533,1215,False,4,5,4,4,6,2,17,0.13068627125368398,0.19602977667493796,0.6666654090536032
65,Q959875,12241,P106,2,Q16533,1215,True,175,261,109,70,194,243,1733,0.13068627177884967,0.24590009975062344,0.5314608327177726
66,Q41257,1377,P19,13,Q1055,7525,False,2,3,1,1,5,1,4,0.08079800498753117,0.08080468856857856,0.9999172872123415
67,Q41257,1377,P19,13,Q1055,7525,True,237,35,23,39,1070,19,238,0.08079800498753117,0.08080403990024938,0.9999253142203576
68,Q244234,8835,P106,2,Q36180,278,False,2,1,2,1,3,1,1,0.48814390842191335,0.3446969696969697,1.4161537563009354
69,Q244234,8835,P106,2,Q36180,278,True,1485,1216,2107,1323,2450,330,3093,0.4113876451190315,0.5000142857142857,0.8227517830442617
70,Q957010,9308,P19,13,Q1345,5127,False,6,3,6,6,4,9,22,0.060353267212002994,0.06683670855862593,0.9029958014623659
71,Q957010,9308,P19,13,Q1345,5127,True,1172,959,1182,885,613,2222,1784,0.03790852899252269,0.049379950438924694,0.7676907055508214
72,Q58592,1534,P106,2,Q2405480,59,False,10,10,14,9,5,11,10,0.26586041147132167,0.26586041147132167,1.0
73,Q58592,1534,P106,2,Q2405480,59,True,2396,2396,3141,1577,806,4059,4344,0.1306855869725686,0.18117248855926557,0.7213324054431058
74,Q177650,14949,P69,4,Q13371,170,False,3,2,5,2,2,2,3,0.0392156862745098,0.0392156862745098,1.0
75,Q177650,14949,P69,4,Q13371,170,True,904,400,1517,977,803,823,5385,0.028431670822942644,0.06806793458346487,0.41769551253358134
76,Q45233,16538,P106,2,Q36180,278,False,2,2,3,2,2,2,2,0.6478454680534919,0.6478454680534919,1.0
77,Q45233,16538,P106,2,Q36180,278,True,575,547,765,395,527,642,918,0.5263640934500071,0.6214284923574096,0.8470227868909381
78,Q520430,15705,P108,15,Q2994538,5844,False,1,1,1,1,1,1,5,0.023940149625935162,0.07101568951279934,0.33711071159311023
79,Q520430,15705,P108,15,Q2994538,5844,True,19,22,21,19,17,18,1618,0.02394199501246883,0.22857292483078018,0.10474554250112454
80,Q154751,5708,P106,2,Q1234713,1265,False,2,2,1,2,3,1,16,0.2539678081857664,0.4722222222222222,0.5378141820404465
81,Q154751,5708,P106,2,Q1234713,1265,True,7,8,9,9,5,2,169,0.2539678081857664,0.3333333333333333,0.7619034245572993
82,Q86526,14693,P463,1,Q44687,7084,False,1,1,1,1,1,2,3,0.3230088495575221,0.4266666666666667,0.7570519911504424
83,Q86526,14693,P463,1,Q44687,7084,True,55,39,52,60,47,77,121,0.32301598206625026,0.3230272176476744,0.9999652178491152
84,Q171453,6385,P161,0,Q167520,1023,False,528,351,100,88,123,1976,46,0.06483875317207381,0.008479351640899253,7.64666402786399
85,Q171453,6385,P161,0,Q167520,1023,True,650,262,141,65,166,2617,2,0.06484104309699004,0.004988029925187033,12.999329208025701
86,Q9200,1547,P106,2,Q4504549,16725,False,63,45,92,37,78,64,29,0.25396313061447257,0.1991394147342313,1.2753031887404522
87,Q9200,1547,P106,2,Q4504549,16725,True,211,150,394,89,224,196,32,0.2539524944735952,0.22246169675311722,1.1415560439396708
88,Q55690,3222,P106,2,Q28389,102,False,2,2,2,2,2,2,4,0.534010152284264,0.7342026078234705,0.7273334997642229
89,Q55690,3222,P106,2,Q28389,102,True,736,938,326,355,803,1260,1072,0.32200665866212214,0.3333333333333333,0.9660199759863665
90,Q381420,14976,P106,2,Q36834,141,False,1,2,1,1,2,1,2,0.5239669421487604,0.5870570107858244,0.892531615366261
91,Q381420,14976,P106,2,Q36834,141,True,895,595,1113,269,1721,776,488,0.5240189685677112,0.4320788385871091,1.212785542289562
92,Q338442,13405,P136,10,Q130232,399,False,1,1,1,1,1,1,1,0.48182883939038684,0.48182883939038684,1.0
93,Q338442,13405,P136,10,Q130232,399,True,395,426,379,302,315,554,429,0.48184485028315494,0.4818448502832117,0.9999999999998821
94,Q49017,2658,P1303,14,Q17172850,288,False,1,1,1,1,1,1,1,0.8516642547033285,0.8516642547033285,1.0
95,Q49017,2658,P1303,14,Q17172850,288,True,1198,587,835,586,2592,1391,922,0.49511511539261144,0.382874198212531,1.2931535154473277
96,Q14747,14041,P106,2,Q33999,5,False,1,1,1,1,1,1,1,0.826530612244898,0.826530612244898,1.0
97,Q14747,14041,P106,2,Q33999,5,True,632,216,344,1264,797,538,1741,0.39438927410617547,0.5534127249190939,0.7126494501257324
98,Q200841,15744,P69,4,Q178848,7209,False,291,66,927,83,132,246,67,0.02843127201996957,0.028430872817955113,1.0000140411452372
99,Q200841,15744,P69,4,Q178848,7209,True,5665,1776,10567,4623,3735,7623,2825,0.02344339152119701,0.01995012503008174,1.1750999798671917
100,Q34091,5357,P172,5,Q49085,13,False,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,1.0
101,Q34091,5357,P172,5,Q49085,13,True,1443,1740,1374,719,2638,742,107,0.42857900961881007,0.11818983476785826,3.626191799494437
102,Q150651,12727,P106,2,Q12406482,2592,False,71,91,85,47,59,72,253,0.13068304332169575,0.21995031021703626,0.5941480291286886
103,Q150651,12727,P106,2,Q12406482,2592,True,580,969,656,206,638,432,6047,0.09276839894943492,0.22244389027431422,0.4170417934834462
104,Q741058,4387,P20,22,Q61,477,False,2,2,2,2,1,2,4,0.29551640413192787,0.2955164044311797,0.9999999989873596
105,Q741058,4387,P20,22,Q61,477,True,136,154,82,167,139,136,14,0.2955164043364166,0.18668496469883555,1.5829684239068231
106,Q28152,15284,P108,15,Q156725,1302,False,38,8,134,37,3,6,16,0.013467631047589187,0.013467631042401994,1.00000000038516
107,Q28152,15284,P108,15,Q156725,1302,True,2113,893,7605,1281,294,491,2821,0.011970074812967581,0.01247002493765586,0.9599078488465107
108,Q14278,11684,P106,2,Q170790,826,False,1,1,1,2,1,2,11,0.2459063570171561,0.5247933884297521,0.46857746770198244
109,Q14278,11684,P106,2,Q170790,826,True,9,10,2,3,17,11,698,0.24590635879770473,0.43480818581205033,0.5655513553371783
110,Q372234,3053,P27,3,Q159,299,False,1,1,1,1,1,1,2,0.6155878467635403,0.671664167916042,0.9165113700698244
111,Q372234,3053,P27,3,Q159,299,True,18,15,13,17,35,12,162,0.6156270402189212,0.6906556222690483,0.8913661459764396
112,Q69236,2667,P106,2,Q2526255,1287,False,7,17,5,3,3,5,10,0.20639332870048646,0.2667910447761194,0.773614155129096
113,Q69236,2667,P106,2,Q2526255,1287,True,2621,4274,2242,2829,1709,2051,6865,0.12699574793973664,0.23647604327666152,0.5370343066471216
114,Q128493,10632,P136,10,Q319221,3882,False,13,7,16,10,16,14,20,0.1601089277742046,0.1601089279549339,0.9999999988712104
115,Q128493,10632,P136,10,Q319221,3882,True,420,264,523,319,570,423,401,0.16010942735162711,0.16010942735162711,1.0
116,Q953,939,P463,1,Q899770,2457,False,1,1,1,1,1,1,1,0.6910112359550562,0.6910112359550562,1.0
117,Q953,939,P463,1,Q899770,2457,True,19,19,17,13,18,26,20,0.6910797275186509,0.6910797275186571,0.999999999999991
118,Q65613,9763,P106,2,Q36180,278,False,1,1,1,1,1,1,1,0.8218793828892006,0.8218793828892006,1.0
119,Q65613,9763,P106,2,Q36180,278,True,951,1157,464,1448,887,800,144,0.8219505367353545,0.5258732770432137,1.5630201659169125
120,Q676914,16987,P108,15,Q487556,1475,False,1620,6090,280,87,1563,78,125,0.013467631007483792,,
121,Q676914,16987,P108,15,Q487556,1475,True,4483,8951,3152,1479,8069,764,5816,4.644681839294008e-06,0.011970074812967581,0.00038802446199102025
122,Q266694,15986,P20,22,Q11299,951,False,18,25,14,34,4,13,67,0.06633820473317556,0.06633820473318254,0.9999999999998948
123,Q266694,15986,P20,22,Q11299,951,True,5727,6499,6111,10311,1571,4143,4341,0.06633416458852869,0.0428927680798005,1.546511627906977
124,Q342665,8782,P19,13,Q5083,12021,False,332,60,17,502,27,1054,12,0.06683606007481994,0.033915222851467634,1.9706802566956363
125,Q342665,8782,P19,13,Q5083,12021,True,5222,4933,863,8533,1943,9837,2435,0.06683401500748577,0.028928728179551125,2.310299111411638
126,Q234436,4885,P27,3,Q145,229,False,2,2,2,2,2,2,3,0.21897411642606332,0.21897411647755222,0.9999999997648631
127,Q234436,4885,P27,3,Q145,229,True,2107,2712,935,2016,2021,2851,6056,0.21895965087281796,0.4043310382479602,0.5415355987054813
128,Q1020,5362,P463,1,Q7785,4570,False,1,1,1,1,1,2,4,0.6714906907923188,0.671503667459161,0.9999806752107679
129,Q1020,5362,P463,1,Q7785,4570,True,4,2,3,1,1,15,25,0.6714906915245573,0.6715071968709256,0.9999754204475466
130,Q34105,4842,P27,3,Q79,515,False,1,1,1,1,1,1,4,0.4138670486764863,0.751269035532995,0.5508905985761338
131,Q34105,4842,P27,3,Q79,515,True,2,2,1,3,2,3,328,0.413867047892576,0.48404371427603876,0.8550199820517809
132,Q1095432,1412,P509,8,Q47912,386,False,11,5,8,24,3,17,11,0.01496389036409576,0.01496389036409576,1.0
133,Q1095432,1412,P509,8,Q47912,386,True,7761,4213,7647,11568,4409,10968,,,,
134,Q377453,15401,P112,36,Q272031,2331,False,1581,2277,1426,2983,121,1097,,,,
135,Q377453,15401,P112,36,Q272031,2331,True,509,1067,163,262,52,1000,,,,
136,Q75812,12853,P69,4,Q151510,1727,False,3,2,5,4,1,2,10,0.05132591958939264,0.09350649350649351,0.5489021956087824
137,Q75812,12853,P69,4,Q151510,1727,True,307,355,228,576,80,295,1318,0.042398105087302754,0.05885675845389577,0.7203608591613899
138,Q241098,9319,P1412,11,Q150,344,False,1,1,1,1,1,1,1,0.8058510638297872,0.8058510638297872,1.0
139,Q241098,9319,P1412,11,Q150,344,True,22,23,26,18,23,19,39,0.8059030089098788,0.8059228490374654,0.9999753821006436
140,Q541708,3205,P106,2,Q193391,1442,False,13,10,14,10,11,18,25,0.13318015091840193,0.15849673202614378,0.8402706429078556
141,Q541708,3205,P106,2,Q193391,1442,True,2175,3199,1208,1605,1664,3201,5018,0.11622025538751986,0.2,0.5811012769375993
142,Q245257,10584,P737,23,Q7245,1418,False,76,25,184,53,76,43,36,0.035411620962595015,0.035411620962594516,1.0000000000000142
143,Q245257,10584,P737,23,Q7245,1418,True,12,6,20,10,13,12,36,0.03541172071421181,0.035412930308211236,0.9999658431542123
144,Q189078,2473,P136,10,Q11401,135,False,1,1,1,1,1,1,1,0.680672268907563,0.680672268907563,1.0
145,Q189078,2473,P136,10,Q11401,135,True,9,4,9,6,18,7,17,0.6806960630634352,0.6806960636996277,0.9999999990653796
146,Q170800,6439,P106,2,Q47064,2132,False,62,114,41,70,44,42,186,0.19913941376156996,0.24962478908188054,0.7977549605309806
147,Q170800,6439,P106,2,Q47064,2132,True,3614,7179,3000,4006,2409,1478,1882,0.1991394145845126,0.116219402319202,1.713478219734489
148,Q298694,13333,P106,2,Q183945,534,False,3,2,2,2,5,2,14,0.2379862700228833,0.4382716049382716,0.5430109259677056
149,Q298694,13333,P106,2,Q183945,534,True,322,279,61,263,836,170,2831,0.22245870324189526,0.3261134149752759,0.6821513406885173
150,Q150630,9513,P106,2,Q864503,2771,False,8,5,8,15,7,7,108,0.14814274397007954,0.19047619047619047,0.7777494058429176
151,Q150630,9513,P106,2,Q864503,2771,True,140,64,77,302,149,107,1376,0.14813014750858702,0.2459037091424122,0.6023908627697813
152,Q97723,13726,P106,2,Q15627169,1985,False,6,9,3,4,4,8,25,0.13318015078812917,0.14814175487343137,0.899004814016919
153,Q97723,13726,P106,2,Q15627169,1985,True,150,288,27,133,169,134,2430,0.13318015078812917,0.2496271332413878,0.5335163251638388
154,Q213547,12603,P106,2,Q33999,5,False,1,2,2,1,1,1,2,0.7869346733668342,0.8348082595870207,0.9426531953051477
155,Q213547,12603,P106,2,Q33999,5,True,608,836,255,563,551,836,4718,0.22495583767853095,0.553427830658646,0.4064772771018876
156,Q408,302,P530,7,Q865,747,False,1,1,1,1,1,1,1,0.8974358974358975,0.8974358974358975,1.0
157,Q408,302,P530,7,Q865,747,True,2,1,3,2,1,2,1,0.8974358974358975,0.8972972972972973,1.0001544640098856
158,Q75185,13437,P108,15,Q54096,8486,False,38,37,44,42,31,37,35,0.02992763116209476,0.029927581177057357,1.00000167019971
159,Q75185,13437,P108,15,Q54096,8486,True,1453,1017,2032,1488,1603,1126,447,0.029927631162114714,0.02394199509725686,1.2500057342983775
160,Q148,296,P530,7,Q1006,8466,False,5,2,5,2,10,6,2,0.8682871678914641,0.7033643867310467,1.2344770140082182
161,Q148,296,P530,7,Q1006,8466,True,1,1,1,1,1,1,1,0.8682871678914641,0.8682871678914641,1.0
162,Q182642,7838,P463,1,Q463303,93,False,1,1,1,1,1,1,7,0.10512982900569981,0.12020723219451371,0.8745715801490517
163,Q182642,7838,P463,1,Q463303,93,True,3230,2123,4396,3011,2530,4088,3414,0.09427207012970173,0.09872029250457039,0.954941154832349
164,Q221903,11218,P27,3,Q28513,3082,False,2,2,2,2,1,2,3,0.3227147640498753,0.32271476479169864,0.9999999977013034
165,Q221903,11218,P27,3,Q28513,3082,True,96,49,155,104,97,77,2783,0.322701047596016,0.48404371427642695,0.6666774881653114
166,Q83789,15358,P495,18,Q145,229,False,1,1,1,1,1,1,1,0.610826166973578,0.610826166973578,1.0
167,Q83789,15358,P495,18,Q145,229,True,32,4,6,62,26,60,200,0.6108261708054225,0.6667049830672472,0.9161865987490474
168,Q438355,6865,P106,2,Q639669,83,False,2,1,2,2,2,2,1,0.6337543053960965,0.5663430420711975,1.1190290306708217
169,Q438355,6865,P106,2,Q639669,83,True,588,462,500,924,510,543,2986,0.24590728179551122,0.6080477588871716,0.40442099851755464
170,Q447827,16304,P106,2,Q201788,2256,False,5,4,6,2,6,6,3,0.2727272727272727,0.2,1.3636363636363635
171,Q447827,16304,P106,2,Q201788,2256,True,1372,1006,1346,1158,1527,1822,254,0.2727272727272727,0.24590010074322594,1.1090978486912466
172,Q258009,2403,P840,6,Q96,1799,False,65,45,60,174,23,22,53,0.03691072327712633,0.03691012472319202,1.000016216524295
173,Q258009,2403,P840,6,Q96,1799,True,2355,2862,1055,6888,613,356,334,0.03690858173714649,,
174,Q106275,14536,P106,2,Q483501,4600,False,185,75,524,97,129,100,83,0.24589501340656608,0.13068304333175312,1.8816137666945423
175,Q106275,14536,P106,2,Q483501,4600,True,8540,6729,13450,6667,10645,5208,1511,0.2458852867830424,0.0015957446808510637,154.08811305070657
176,Q194142,13100,P136,10,Q130232,399,False,1,1,1,1,1,2,1,0.48182883939038684,0.48182883939038684,1.0
177,Q194142,13100,P136,10,Q130232,399,True,570,594,573,551,488,642,454,0.4818448498728317,0.3463414636028517,1.3912421714119716
178,Q67641,5124,P26,33,Q62310,10250,False,1,1,1,1,1,1,1,0.854389721627409,0.854389721627409,1.0
179,Q67641,5124,P26,33,Q62310,10250,True,1,1,1,1,1,1,1,0.854389721627409,0.854389721627409,1.0
180,Q313315,10365,P161,0,Q363271,4121,False,546,277,361,692,203,1199,1580,0.00299271821446417,0.005486683291854196,0.5454512417196212
181,Q313315,10365,P161,0,Q363271,4121,True,316,128,343,326,141,640,878,0.005486583561098255,0.005486756432808442,0.9999684929133809
182,Q164979,5153,P101,27,Q482,927,False,1,1,1,1,2,1,1,0.11510791366906475,0.11510791366906475,1.0
183,Q164979,5153,P101,27,Q482,927,True,1789,887,2558,464,3918,1119,911,0.07792207792207792,0.040856032053902126,1.9072355783173918
184,Q65035,6256,P108,15,Q151510,1727,False,1,1,1,1,1,1,1,0.12949640287769784,0.12949640287769784,1.0
185,Q65035,6256,P108,15,Q151510,1727,True,1,1,1,1,1,1,35,0.1295023380397926,0.4848614344887726,0.26709143855983736
186,Q237416,7936,P106,2,Q333634,273,False,9,8,9,7,13,6,11,0.16723549488054607,0.2664446294754371,0.6276557167235495
187,Q237416,7936,P106,2,Q333634,273,True,3536,3612,4075,3115,3605,3271,2831,0.167250382329122,0.14812967581047382,1.1290808638716823
188,Q25153,7459,P106,2,Q33999,5,False,2,2,2,2,2,2,2,0.5870570107858244,0.5870570107858244,1.0
189,Q25153,7459,P106,2,Q33999,5,True,389,325,296,501,658,167,371,0.5870905956914848,0.5870867827720566,1.0000064946436202
190,Q944386,13107,P106,2,Q2095549,6871,False,22,37,21,25,14,15,114,0.1306817460210034,0.14814300914380715,0.8821323852963353
191,Q944386,13107,P106,2,Q2095549,6871,True,784,798,1514,680,490,438,8578,0.03850947634465442,0.2199595012468828,0.17507530307332048
192,Q347685,2790,P106,2,Q49757,55,False,1,1,1,1,1,1,1,0.47579529737206083,0.47579529737206083,1.0
193,Q347685,2790,P106,2,Q49757,55,True,93,45,80,104,161,76,315,0.47584006358860753,0.5082130516034372,0.9363003608177883
194,Q103646,4962,P27,3,Q30,31,False,1,1,1,1,1,1,1,0.751269035532995,0.751269035532995,1.0
195,Q103646,4962,P27,3,Q30,31,True,20,21,44,12,8,14,155,0.7513431632444437,0.8090172521428254,0.9287109282952599
196,Q329001,4452,P1303,14,Q5994,552,False,1,1,1,1,1,1,1,0.73828125,0.73828125,1.0
197,Q329001,4452,P1303,14,Q5994,552,True,9,4,2,21,7,9,20,0.73830588840399,0.7383058905779031,0.9999999970555388
198,Q158050,10863,P106,2,Q10873124,8738,False,2,1,2,3,3,1,45,0.26110521750396853,0.26111768365114885,0.9999522585103927
199,Q158050,10863,P106,2,Q10873124,8738,True,1,1,1,1,1,1,100,0.26109215017064846,0.4507897934386391,0.5791882468745113
200,Q78928,13117,P106,2,Q15253558,9705,False,5142,4819,2510,16722,472,1187,210,0.13068159601003101,,
201,Q78928,13117,P106,2,Q15253558,9705,True,13687,15044,14352,16255,9828,12954,,,,
202,Q387655,16262,P27,3,Q145,229,False,2,2,2,2,2,2,3,0.5689655172413793,0.5690102599706858,0.9999213674472078
203,Q387655,16262,P27,3,Q145,229,True,115,37,51,31,163,291,537,0.5690082692731909,0.6906483876774947,0.8238754761835412
204,Q1944655,8256,P69,4,Q21578,3218,False,545,1150,114,134,642,684,26,0.034916209770601996,,
205,Q1944655,8256,P69,4,Q21578,3218,True,10035,12834,6808,8239,10774,11518,2816,0.034914812967581046,,
206,Q453602,16360,P106,2,Q3282637,275,False,2,2,2,2,2,2,2,0.36446280991735536,0.36446280991735536,1.0
207,Q453602,16360,P106,2,Q3282637,275,True,1226,1066,1005,1080,1488,1490,6242,0.13068558719710124,0.2752605920841461,0.4747704210312501
208,Q311084,15487,P19,13,Q1297,145,False,8,9,13,7,8,4,5,0.06683606013967332,0.06683606007482543,1.000000000970253
209,Q311084,15487,P19,13,Q1297,145,True,4227,4580,6756,3634,4132,2034,4501,0.06034912718204489,0.060349526184538656,0.9999933884734646
210,Q131112,14644,P106,2,Q1086863,9692,False,29,15,47,26,14,41,64,0.17806967708240948,0.27096980024876666,0.6571569116518916
211,Q131112,14644,P106,2,Q1086863,9692,True,315,39,908,277,39,312,580,0.17806967708240948,0.24590010074314372,0.7241545511541417
212,Q433893,9431,P69,4,Q1026827,14315,False,38,24,66,28,22,48,14,0.04090059873817456,0.04090059873817456,1.0
